Population_2020,Population_2015,Population_2010,Population_2005,Area_Codes,Name(Japanese),Merged,Established after 2005,prefecture_romaji,latitude,longitude
3472.0,3887.0,4427.0,4812.0,45443.0,五ヶ瀬町,0,0,Miyazaki Ken,32.6666666667,131.1833333333
3635.0,3946.0,4463.0,5031.0,45442.0,日之影町,0,0,Miyazaki Ken,32.65,131.3833333333
11642.0,12755.0,13723.0,14778.0,45441.0,高千穂町,0,0,Miyazaki Ken,32.7,131.3
4826.0,5480.0,6248.0,0.0,45431.0,美郷町,0,1,Miyazaki Ken,32.440278,131.424056
2503.0,2808.0,3092.0,3478.0,45430.0,椎葉村,0,0,Miyazaki Ken,32.4666666667,131.15
1486.0,1739.0,1882.0,2119.0,45429.0,諸塚村,0,0,Miyazaki Ken,32.5,131.3166666667
0.0,0.0,0.0,4389.0,45428.0,北浦町,1,0,Miyazaki Ken,32.70961,131.82156
0.0,0.0,0.0,4478.0,45427.0,北川町,1,0,Miyazaki Ken,32.69011,131.69492
0.0,0.0,0.0,4680.0,45426.0,北方町,1,0,Miyazaki Ken,32.56289,131.52575
0.0,0.0,0.0,1958.0,45425.0,北郷村,1,0,Miyazaki Ken,32.50138,131.44392
0.0,0.0,0.0,2574.0,45424.0,西郷村,1,0,Miyazaki Ken,32.44025,131.42311
0.0,0.0,0.0,2342.0,45423.0,南郷村,1,0,Miyazaki Ken,32.38622,131.33483
0.0,0.0,0.0,4889.0,45422.0,東郷町,1,0,Miyazaki Ken,32.391667,131.53033
17379.0,18183.0,18854.0,19207.0,45421.0,門川町,0,0,Miyazaki Ken,32.4666666667,131.6333333333
9906.0,10391.0,11137.0,11811.0,45406.0,都農町,0,0,Miyazaki Ken,32.25,131.55
15194.0,16109.0,17009.0,17323.0,45405.0,川南町,0,0,Miyazaki Ken,32.1833333333,131.5166666667
4895.0,5231.0,5177.0,5531.0,45404.0,木城町,0,0,Miyazaki Ken,32.15,131.4666666667
1000.0,1089.0,1241.0,1307.0,45403.0,西米良村,0,0,Miyazaki Ken,32.2166666667,131.15
16564.0,17373.0,18092.0,18608.0,45402.0,新富町,0,0,Miyazaki Ken,32.0666666667,131.4833333333
19922.0,21025.0,21733.0,22522.0,45401.0,高鍋町,0,0,Miyazaki Ken,32.1166666667,131.5
6934.0,7345.0,7224.0,7478.0,45383.0,綾町,0,0,Miyazaki Ken,31.9833333333,131.25
18398.0,19606.0,20909.0,21692.0,45382.0,国富町,0,0,Miyazaki Ken,31.9833333333,131.3166666667
0.0,0.0,0.0,12213.0,45381.0,高岡町,1,0,Miyazaki Ken,31.95681,131.29714
0.0,0.0,0.0,2227.0,45363.0,須木村,1,0,Miyazaki Ken,32.07756,131.07253
0.0,0.0,0.0,8670.0,45362.0,野尻町,1,0,Miyazaki Ken,31.95992,131.09994
8639.0,9300.0,10000.0,10623.0,45361.0,高原町,0,0,Miyazaki Ken,31.9166666667,131.0
